Sent Digits,Encoded Words,Received Loss Errors
"(1, 2)",HV0,"['000', '0V0', 'H00']"
"(2, 1)",V0H,"['000', '00H', 'V00']"
"(4, 7, 1, 2)",H000V000000HV0,"['00000000000000', '000000000000V0', '00000000000H00', '00000000000HV0', '0000V000000000', '0000V0000000V0', '0000V000000H00', '0000V000000HV0', 'H0000000000000', 'H00000000000V0', 'H0000000000H00', 'H0000000000HV0', 'H000V000000000', 'H000V0000000V0', 'H000V000000H00']"
"(4, 7, 2, 1)",H000V000000V0H,"['00000000000000', '0000000000000H', '00000000000V00', '00000000000V0H', '0000V000000000', '0000V00000000H', '0000V000000V00', '0000V000000V0H', 'H0000000000000', 'H000000000000H', 'H0000000000V00', 'H0000000000V0H', 'H000V000000000', 'H000V00000000H', 'H000V000000V00']"
"(7, 1, 2, 4)",V000000HH0V000,"['00000000000000', '0000000000V000', '00000000H00000', '00000000H0V000', '0000000H000000', '0000000H00V000', '0000000HH00000', '0000000HH0V000', 'V0000000000000', 'V000000000V000', 'V0000000H00000', 'V0000000H0V000', 'V000000H000000', 'V000000H00V000', 'V000000HH00000']"
"(7, 1, 4, 2)",V000000HV000V0,"['00000000000000', '000000000000V0', '00000000V00000', '00000000V000V0', '0000000H000000', '0000000H0000V0', '0000000HV00000', '0000000HV000V0', 'V0000000000000', 'V00000000000V0', 'V0000000V00000', 'V0000000V000V0', 'V000000H000000', 'V000000H0000V0', 'V000000HV00000']"
"(7, 2, 1, 4)",V000000V0HV000,"['00000000000000', '0000000000V000', '000000000H0000', '000000000HV000', '0000000V000000', '0000000V00V000', '0000000V0H0000', '0000000V0HV000', 'V0000000000000', 'V000000000V000', 'V00000000H0000', 'V00000000HV000', 'V000000V000000', 'V000000V00V000', 'V000000V0H0000']"
"(7, 2, 4, 1)",V000000H0V000H,"['00000000000000', '0000000000000H', '000000000V0000', '000000000V000H', '0000000H000000', '0000000H00000H', '0000000H0V0000', '0000000H0V000H', 'V0000000000000', 'V000000000000H', 'V00000000V0000', 'V00000000V000H', 'V000000H000000', 'V000000H00000H', 'V000000H0V0000']"
"(7, 4, 1, 2)",V000000V000HV0,"['00000000000000', '000000000000V0', '00000000000H00', '00000000000HV0', '0000000V000000', '0000000V0000V0', '0000000V000H00', '0000000V000HV0', 'V0000000000000', 'V00000000000V0', 'V0000000000H00', 'V0000000000HV0', 'V000000V000000', 'V000000V0000V0', 'V000000V000H00']"
"(7, 4, 2, 1)",V000000V000V0H,"['00000000000000', '0000000000000H', '00000000000V00', '00000000000V0H', '0000000V000000', '0000000V00000H', '0000000V000V00', '0000000V000V0H', 'V0000000000000', 'V000000000000H', 'V0000000000V00', 'V0000000000V0H', 'V000000V000000', 'V000000V00000H', 'V000000V000V00']"
"(1, 2, 4, 7, 12)",HH0H000H000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '000H0000000000000000000000', '000H0000000000V00000000000', '000H000H000000000000000000', '000H000H000000V00000000000', '0H000000000000000000000000', '0H000000000000V00000000000', '0H00000H000000000000000000', '0H00000H000000V00000000000', '0H0H0000000000000000000000', '0H0H0000000000V00000000000', '0H0H000H000000000000000000', '0H0H000H000000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000H000000000000000000', 'H000000H000000V00000000000', 'H00H0000000000000000000000', 'H00H0000000000V00000000000', 'H00H000H000000000000000000', 'H00H000H000000V00000000000', 'HH000000000000000000000000', 'HH000000000000V00000000000', 'HH00000H000000000000000000', 'HH00000H000000V00000000000', 'HH0H0000000000000000000000', 'HH0H0000000000V00000000000', 'HH0H000H000000000000000000']"
"(1, 2, 4, 12, 7)",HH0H000V00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '000H0000000000000000000000', '000H000000000000000V000000', '000H000V000000000000000000', '000H000V00000000000V000000', '0H000000000000000000000000', '0H00000000000000000V000000', '0H00000V000000000000000000', '0H00000V00000000000V000000', '0H0H0000000000000000000000', '0H0H000000000000000V000000', '0H0H000V000000000000000000', '0H0H000V00000000000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H000000V000000000000000000', 'H000000V00000000000V000000', 'H00H0000000000000000000000', 'H00H000000000000000V000000', 'H00H000V000000000000000000', 'H00H000V00000000000V000000', 'HH000000000000000000000000', 'HH00000000000000000V000000', 'HH00000V000000000000000000', 'HH00000V00000000000V000000', 'HH0H0000000000000000000000', 'HH0H000000000000000V000000', 'HH0H000V000000000000000000']"
"(1, 2, 7, 4, 12)",HH0V000000H000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '000V0000000000000000000000', '000V0000000000V00000000000', '000V000000H000000000000000', '000V000000H000V00000000000', '0H000000000000000000000000', '0H000000000000V00000000000', '0H00000000H000000000000000', '0H00000000H000V00000000000', '0H0V0000000000000000000000', '0H0V0000000000V00000000000', '0H0V000000H000000000000000', '0H0V000000H000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000H000000000000000', 'H000000000H000V00000000000', 'H00V0000000000000000000000', 'H00V0000000000V00000000000', 'H00V000000H000000000000000', 'H00V000000H000V00000000000', 'HH000000000000000000000000', 'HH000000000000V00000000000', 'HH00000000H000000000000000', 'HH00000000H000V00000000000', 'HH0V0000000000000000000000', 'HH0V0000000000V00000000000', 'HH0V000000H000000000000000']"
"(1, 2, 7, 12, 4)",HH0H000000V00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '000H0000000000000000000000', '000H000000000000000000V000', '000H000000V000000000000000', '000H000000V00000000000V000', '0H000000000000000000000000', '0H00000000000000000000V000', '0H00000000V000000000000000', '0H00000000V00000000000V000', '0H0H0000000000000000000000', '0H0H000000000000000000V000', '0H0H000000V000000000000000', '0H0H000000V00000000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H000000000V000000000000000', 'H000000000V00000000000V000', 'H00H0000000000000000000000', 'H00H000000000000000000V000', 'H00H000000V000000000000000', 'H00H000000V00000000000V000', 'HH000000000000000000000000', 'HH00000000000000000000V000', 'HH00000000V000000000000000', 'HH00000000V00000000000V000', 'HH0H0000000000000000000000', 'HH0H000000000000000000V000', 'HH0H000000V000000000000000']"
"(1, 2, 12, 4, 7)",HH0V00000000000H000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000H0000000000', '000000000000000H000V000000', '000V0000000000000000000000', '000V000000000000000V000000', '000V00000000000H0000000000', '000V00000000000H000V000000', '0H000000000000000000000000', '0H00000000000000000V000000', '0H0000000000000H0000000000', '0H0000000000000H000V000000', '0H0V0000000000000000000000', '0H0V000000000000000V000000', '0H0V00000000000H0000000000', '0H0V00000000000H000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000H0000000000', 'H00000000000000H000V000000', 'H00V0000000000000000000000', 'H00V000000000000000V000000', 'H00V00000000000H0000000000', 'H00V00000000000H000V000000', 'HH000000000000000000000000', 'HH00000000000000000V000000', 'HH0000000000000H0000000000', 'HH0000000000000H000V000000', 'HH0V0000000000000000000000', 'HH0V000000000000000V000000', 'HH0V00000000000H0000000000']"
"(1, 2, 12, 7, 4)",HH0V00000000000V000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000V0000000000', '000000000000000V000000V000', '000V0000000000000000000000', '000V000000000000000000V000', '000V00000000000V0000000000', '000V00000000000V000000V000', '0H000000000000000000000000', '0H00000000000000000000V000', '0H0000000000000V0000000000', '0H0000000000000V000000V000', '0H0V0000000000000000000000', '0H0V000000000000000000V000', '0H0V00000000000V0000000000', '0H0V00000000000V000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H00000000000000V0000000000', 'H00000000000000V000000V000', 'H00V0000000000000000000000', 'H00V000000000000000000V000', 'H00V00000000000V0000000000', 'H00V00000000000V000000V000', 'HH000000000000000000000000', 'HH00000000000000000000V000', 'HH0000000000000V0000000000', 'HH0000000000000V000000V000', 'HH0V0000000000000000000000', 'HH0V000000000000000000V000', 'HH0V00000000000V0000000000']"
"(1, 4, 2, 7, 12)",HV000H0H000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '00000H00000000000000000000', '00000H00000000V00000000000', '00000H0H000000000000000000', '00000H0H000000V00000000000', '0V000000000000000000000000', '0V000000000000V00000000000', '0V00000H000000000000000000', '0V00000H000000V00000000000', '0V000H00000000000000000000', '0V000H00000000V00000000000', '0V000H0H000000000000000000', '0V000H0H000000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000H000000000000000000', 'H000000H000000V00000000000', 'H0000H00000000000000000000', 'H0000H00000000V00000000000', 'H0000H0H000000000000000000', 'H0000H0H000000V00000000000', 'HV000000000000000000000000', 'HV000000000000V00000000000', 'HV00000H000000000000000000', 'HV00000H000000V00000000000', 'HV000H00000000000000000000', 'HV000H00000000V00000000000', 'HV000H0H000000000000000000']"
"(1, 4, 2, 12, 7)",HV000H0V00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '00000H00000000000000000000', '00000H0000000000000V000000', '00000H0V000000000000000000', '00000H0V00000000000V000000', '0V000000000000000000000000', '0V00000000000000000V000000', '0V00000V000000000000000000', '0V00000V00000000000V000000', '0V000H00000000000000000000', '0V000H0000000000000V000000', '0V000H0V000000000000000000', '0V000H0V00000000000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H000000V000000000000000000', 'H000000V00000000000V000000', 'H0000H00000000000000000000', 'H0000H0000000000000V000000', 'H0000H0V000000000000000000', 'H0000H0V00000000000V000000', 'HV000000000000000000000000', 'HV00000000000000000V000000', 'HV00000V000000000000000000', 'HV00000V00000000000V000000', 'HV000H00000000000000000000', 'HV000H0000000000000V000000', 'HV000H0V000000000000000000']"
"(1, 4, 7, 2, 12)",HH000V000000H0V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '000000000000H0000000000000', '000000000000H0V00000000000', '00000V00000000000000000000', '00000V00000000V00000000000', '00000V000000H0000000000000', '00000V000000H0V00000000000', '0H000000000000000000000000', '0H000000000000V00000000000', '0H0000000000H0000000000000', '0H0000000000H0V00000000000', '0H000V00000000000000000000', '0H000V00000000V00000000000', '0H000V000000H0000000000000', '0H000V000000H0V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H00000000000H0000000000000', 'H00000000000H0V00000000000', 'H0000V00000000000000000000', 'H0000V00000000V00000000000', 'H0000V000000H0000000000000', 'H0000V000000H0V00000000000', 'HH000000000000000000000000', 'HH000000000000V00000000000', 'HH0000000000H0000000000000', 'HH0000000000H0V00000000000', 'HH000V00000000000000000000', 'HH000V00000000V00000000000', 'HH000V000000H0000000000000']"
"(1, 4, 7, 12, 2)",HH000H000000V00000000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '000000000000V0000000000000', '000000000000V00000000000V0', '00000H00000000000000000000', '00000H000000000000000000V0', '00000H000000V0000000000000', '00000H000000V00000000000V0', '0H000000000000000000000000', '0H0000000000000000000000V0', '0H0000000000V0000000000000', '0H0000000000V00000000000V0', '0H000H00000000000000000000', '0H000H000000000000000000V0', '0H000H000000V0000000000000', '0H000H000000V00000000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H00000000000V0000000000000', 'H00000000000V00000000000V0', 'H0000H00000000000000000000', 'H0000H000000000000000000V0', 'H0000H000000V0000000000000', 'H0000H000000V00000000000V0', 'HH000000000000000000000000', 'HH0000000000000000000000V0', 'HH0000000000V0000000000000', 'HH0000000000V00000000000V0', 'HH000H00000000000000000000', 'HH000H000000000000000000V0', 'HH000H000000V0000000000000']"
"(1, 4, 12, 2, 7)",HH000V00000000000H0V000000,"['00000000000000000000000000', '0000000000000000000V000000', '00000000000000000H00000000', '00000000000000000H0V000000', '00000V00000000000000000000', '00000V0000000000000V000000', '00000V00000000000H00000000', '00000V00000000000H0V000000', '0H000000000000000000000000', '0H00000000000000000V000000', '0H000000000000000H00000000', '0H000000000000000H0V000000', '0H000V00000000000000000000', '0H000V0000000000000V000000', '0H000V00000000000H00000000', '0H000V00000000000H0V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H0000000000000000H00000000', 'H0000000000000000H0V000000', 'H0000V00000000000000000000', 'H0000V0000000000000V000000', 'H0000V00000000000H00000000', 'H0000V00000000000H0V000000', 'HH000000000000000000000000', 'HH00000000000000000V000000', 'HH000000000000000H00000000', 'HH000000000000000H0V000000', 'HH000V00000000000000000000', 'HH000V0000000000000V000000', 'HH000V00000000000H00000000']"
"(1, 4, 12, 7, 2)",HH000V00000000000V000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000V00000000', '00000000000000000V000000V0', '00000V00000000000000000000', '00000V000000000000000000V0', '00000V00000000000V00000000', '00000V00000000000V000000V0', '0H000000000000000000000000', '0H0000000000000000000000V0', '0H000000000000000V00000000', '0H000000000000000V000000V0', '0H000V00000000000000000000', '0H000V000000000000000000V0', '0H000V00000000000V00000000', '0H000V00000000000V000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000V00000000', 'H0000000000000000V000000V0', 'H0000V00000000000000000000', 'H0000V000000000000000000V0', 'H0000V00000000000V00000000', 'H0000V00000000000V000000V0', 'HH000000000000000000000000', 'HH0000000000000000000000V0', 'HH000000000000000V00000000', 'HH000000000000000V000000V0', 'HH000V00000000000000000000', 'HH000V000000000000000000V0', 'HH000V00000000000V00000000']"
"(1, 7, 2, 4, 12)",HV000000H0H000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '00000000H00000000000000000', '00000000H00000V00000000000', '00000000H0H000000000000000', '00000000H0H000V00000000000', '0V000000000000000000000000', '0V000000000000V00000000000', '0V00000000H000000000000000', '0V00000000H000V00000000000', '0V000000H00000000000000000', '0V000000H00000V00000000000', '0V000000H0H000000000000000', '0V000000H0H000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000H000000000000000', 'H000000000H000V00000000000', 'H0000000H00000000000000000', 'H0000000H00000V00000000000', 'H0000000H0H000000000000000', 'H0000000H0H000V00000000000', 'HV000000000000000000000000', 'HV000000000000V00000000000', 'HV00000000H000000000000000', 'HV00000000H000V00000000000', 'HV000000H00000000000000000', 'HV000000H00000V00000000000', 'HV000000H0H000000000000000']"
"(1, 7, 2, 12, 4)",HV000000H0V00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '00000000H00000000000000000', '00000000H0000000000000V000', '00000000H0V000000000000000', '00000000H0V00000000000V000', '0V000000000000000000000000', '0V00000000000000000000V000', '0V00000000V000000000000000', '0V00000000V00000000000V000', '0V000000H00000000000000000', '0V000000H0000000000000V000', '0V000000H0V000000000000000', '0V000000H0V00000000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H000000000V000000000000000', 'H000000000V00000000000V000', 'H0000000H00000000000000000', 'H0000000H0000000000000V000', 'H0000000H0V000000000000000', 'H0000000H0V00000000000V000', 'HV000000000000000000000000', 'HV00000000000000000000V000', 'HV00000000V000000000000000', 'HV00000000V00000000000V000', 'HV000000H00000000000000000', 'HV000000H0000000000000V000', 'HV000000H0V000000000000000']"
"(1, 7, 4, 2, 12)",HV000000V000H0V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '000000000000H0000000000000', '000000000000H0V00000000000', '00000000V00000000000000000', '00000000V00000V00000000000', '00000000V000H0000000000000', '00000000V000H0V00000000000', '0V000000000000000000000000', '0V000000000000V00000000000', '0V0000000000H0000000000000', '0V0000000000H0V00000000000', '0V000000V00000000000000000', '0V000000V00000V00000000000', '0V000000V000H0000000000000', '0V000000V000H0V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H00000000000H0000000000000', 'H00000000000H0V00000000000', 'H0000000V00000000000000000', 'H0000000V00000V00000000000', 'H0000000V000H0000000000000', 'H0000000V000H0V00000000000', 'HV000000000000000000000000', 'HV000000000000V00000000000', 'HV0000000000H0000000000000', 'HV0000000000H0V00000000000', 'HV000000V00000000000000000', 'HV000000V00000V00000000000', 'HV000000V000H0000000000000']"
"(1, 7, 4, 12, 2)",HV000000H000V00000000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '000000000000V0000000000000', '000000000000V00000000000V0', '00000000H00000000000000000', '00000000H000000000000000V0', '00000000H000V0000000000000', '00000000H000V00000000000V0', '0V000000000000000000000000', '0V0000000000000000000000V0', '0V0000000000V0000000000000', '0V0000000000V00000000000V0', '0V000000H00000000000000000', '0V000000H000000000000000V0', '0V000000H000V0000000000000', '0V000000H000V00000000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H00000000000V0000000000000', 'H00000000000V00000000000V0', 'H0000000H00000000000000000', 'H0000000H000000000000000V0', 'H0000000H000V0000000000000', 'H0000000H000V00000000000V0', 'HV000000000000000000000000', 'HV0000000000000000000000V0', 'HV0000000000V0000000000000', 'HV0000000000V00000000000V0', 'HV000000H00000000000000000', 'HV000000H000000000000000V0', 'HV000000H000V0000000000000']"
"(1, 7, 12, 2, 4)",HH000000V00000000000H0V000,"['00000000000000000000000000', '0000000000000000000000V000', '00000000000000000000H00000', '00000000000000000000H0V000', '00000000V00000000000000000', '00000000V0000000000000V000', '00000000V00000000000H00000', '00000000V00000000000H0V000', '0H000000000000000000000000', '0H00000000000000000000V000', '0H000000000000000000H00000', '0H000000000000000000H0V000', '0H000000V00000000000000000', '0H000000V0000000000000V000', '0H000000V00000000000H00000', '0H000000V00000000000H0V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H0000000000000000000H00000', 'H0000000000000000000H0V000', 'H0000000V00000000000000000', 'H0000000V0000000000000V000', 'H0000000V00000000000H00000', 'H0000000V00000000000H0V000', 'HH000000000000000000000000', 'HH00000000000000000000V000', 'HH000000000000000000H00000', 'HH000000000000000000H0V000', 'HH000000V00000000000000000', 'HH000000V0000000000000V000', 'HH000000V00000000000H00000']"
"(1, 7, 12, 4, 2)",HH000000V00000000000V000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000000V00000', '00000000000000000000V000V0', '00000000V00000000000000000', '00000000V000000000000000V0', '00000000V00000000000V00000', '00000000V00000000000V000V0', '0H000000000000000000000000', '0H0000000000000000000000V0', '0H000000000000000000V00000', '0H000000000000000000V000V0', '0H000000V00000000000000000', '0H000000V000000000000000V0', '0H000000V00000000000V00000', '0H000000V00000000000V000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000000V00000', 'H0000000000000000000V000V0', 'H0000000V00000000000000000', 'H0000000V000000000000000V0', 'H0000000V00000000000V00000', 'H0000000V00000000000V000V0', 'HH000000000000000000000000', 'HH0000000000000000000000V0', 'HH000000000000000000V00000', 'HH000000000000000000V000V0', 'HH000000V00000000000000000', 'HH000000V000000000000000V0', 'HH000000V00000000000V00000']"
"(1, 12, 2, 4, 7)",HV00000000000H0H000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000H0000000000', '000000000000000H000V000000', '0000000000000H000000000000', '0000000000000H00000V000000', '0000000000000H0H0000000000', '0000000000000H0H000V000000', '0V000000000000000000000000', '0V00000000000000000V000000', '0V0000000000000H0000000000', '0V0000000000000H000V000000', '0V00000000000H000000000000', '0V00000000000H00000V000000', '0V00000000000H0H0000000000', '0V00000000000H0H000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000H0000000000', 'H00000000000000H000V000000', 'H000000000000H000000000000', 'H000000000000H00000V000000', 'H000000000000H0H0000000000', 'H000000000000H0H000V000000', 'HV000000000000000000000000', 'HV00000000000000000V000000', 'HV0000000000000H0000000000', 'HV0000000000000H000V000000', 'HV00000000000H000000000000', 'HV00000000000H00000V000000', 'HV00000000000H0H0000000000']"
"(1, 12, 2, 7, 4)",HV00000000000H0V000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000V0000000000', '000000000000000V000000V000', '0000000000000H000000000000', '0000000000000H00000000V000', '0000000000000H0V0000000000', '0000000000000H0V000000V000', '0V000000000000000000000000', '0V00000000000000000000V000', '0V0000000000000V0000000000', '0V0000000000000V000000V000', '0V00000000000H000000000000', '0V00000000000H00000000V000', '0V00000000000H0V0000000000', '0V00000000000H0V000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H00000000000000V0000000000', 'H00000000000000V000000V000', 'H000000000000H000000000000', 'H000000000000H00000000V000', 'H000000000000H0V0000000000', 'H000000000000H0V000000V000', 'HV000000000000000000000000', 'HV00000000000000000000V000', 'HV0000000000000V0000000000', 'HV0000000000000V000000V000', 'HV00000000000H000000000000', 'HV00000000000H00000000V000', 'HV00000000000H0V0000000000']"
